example_id,example_class,example_note,instrument,method,plate_id,well,sample_id,lims_sample,project,role,nominal_eu_ml,dilution,onset_sec,result_eu_ml,units,ppc_recovery_pct
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,A01,STD-5,,,STD,5.0,,312,5.12,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,A02,STD-5,,,STD,5.0,,298,4.88,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,B01,STD-0.5,,,STD,0.5,,612,0.51,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,B02,STD-0.5,,,STD,0.5,,631,0.48,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,C01,STD-0.05,,,STD,0.05,,1104,0.052,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,C02,STD-0.05,,,STD,0.05,,1148,0.047,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,D01,STD-0.005,,,STD,0.005,,1820,0.0053,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,D02,STD-0.005,,,STD,0.005,,1895,0.0047,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,F01,CAR-T-Batch-001-1:10,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,1:10,1100,0.051,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,F02,CAR-T-Batch-001-1:10,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,1:10,1088,0.054,EU/mL,
